status,time/total_timesteps,time/time_elapsed,rollout/exploration_rate,time/episodes,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,train/n_updates,train/loss,train/dqn_loss,train/learning_rate,train/cql_loss
-1.0,33,7,0.9968649999999994,1,4,-443.829845,33.0,,,,,
-1.0,274,55,0.9739700000000003,2,4,-2213.687048,241.0,,,,,
-1.0,329,66,0.9687449999999999,3,4,-562.19642,55.0,,,,,
-1.0,429,86,0.9592449999999999,4,4,6.994818,100.0,,,,,
-1.0,475,96,0.9548749999999997,5,4,-407.925101,46.0,,,,,
-1.0,666,134,0.9367300000000001,6,4,-67.96194,191.0,,,,,
-1.0,914,184,0.9131699999999997,7,4,216.08247,248.0,,,,,
-1.0,967,195,0.9081350000000004,8,4,-1882.743226,53.0,,,,,
-1.0,1085,219,0.8969249999999998,9,4,-526.117704,118.0,84,10.122143745422363,8.509786605834961,0.0001,1.6123571395874023
-1.0,1265,255,0.8798249999999995,10,4,146.75808,180.0,264,11.223222732543945,9.564252853393555,0.0001,1.658969521522522
-1.0,1560,315,0.8518000000000006,11,4,0.102186,295.0,559,7.132828712463379,5.47479248046875,0.0001,1.6580361127853394
0.0,2060,415,0.8043000000000005,12,4,450.111665,500.0,1059,9.060103416442871,7.433633804321289,0.0001,1.6264692544937134
0.0,2560,515,0.7568000000000005,13,4,489.295641,500.0,1559,6.050810813903809,4.4444074630737305,0.0001,1.606403112411499
-1.0,2583,520,0.7546149999999998,14,4,-138.599542,23.0,1582,6.456841945648193,4.839959144592285,0.0001,1.6168829202651978
1.0,2667,537,0.7466350000000004,15,4,621.014034,84.0,1666,10.761516571044922,9.065669059753418,0.0001,1.6958473920822144
1.0,3005,605,0.7145249999999999,16,4,552.027752,338.0,2004,4.64749813079834,3.0405213832855225,0.0001,1.6069765090942383
1.0,3043,613,0.7109150000000004,17,4,394.523626,38.0,2042,10.444541931152344,8.773256301879883,0.0001,1.6712852716445923
-1.0,3098,624,0.7056899999999999,18,4,-220.336316,55.0,2097,8.855083465576172,7.19020414352417,0.0001,1.664879322052002
-1.0,3115,628,0.704075,19,4,-310.141439,17.0,2114,9.265294075012207,7.672238826751709,0.0001,1.5930553674697876
0.0,3615,728,0.6565749999999999,20,4,324.738395,500.0,2614,7.736376762390137,6.029964447021484,0.0001,1.7064125537872314
0.0,4115,828,0.6090749999999998,21,4,517.181253,500.0,3114,8.961316108703613,7.318332672119141,0.0001,1.6429831981658936
1.0,4438,893,0.5783900000000002,22,4,625.96142,323.0,3437,7.97337532043457,6.426222801208496,0.0001,1.5471522808074951
0.0,4938,994,0.5308900000000002,23,4,128.613645,500.0,3937,7.837162494659424,6.230033874511719,0.0001,1.6071287393569946
1.0,5058,1018,0.5194900000000005,24,4,637.471367,120.0,4057,8.884895324707031,7.252532005310059,0.0001,1.6323635578155518
1.0,5334,1073,0.49327000000000065,25,4,702.701787,276.0,4333,9.587501525878906,7.980701446533203,0.0001,1.6068000793457031
1.0,5665,1140,0.46182500000000026,26,4,564.838548,331.0,4664,8.245363235473633,6.618899345397949,0.0001,1.6264641284942627
0.0,6165,1240,0.4143250000000003,27,4,519.907758,500.0,5164,8.349456787109375,6.786662578582764,0.0001,1.5627940893173218
0.0,6665,1340,0.3668250000000002,28,4,365.944822,500.0,5664,5.90234375,4.441232681274414,0.0001,1.4611111879348755
0.0,7165,1441,0.3193250000000002,29,4,605.417679,500.0,6164,7.353052616119385,5.739114284515381,0.0001,1.6139384508132935
1.0,7321,1472,0.304505,30,4,666.221397,156.0,6320,7.885677337646484,6.254193305969238,0.0001,1.6314842700958252
0.0,7821,1573,0.25700500000000004,31,4,194.990557,500.0,6820,7.460698127746582,5.879288673400879,0.0001,1.5814094543457031
0.0,8321,1673,0.20950499999999994,32,4,172.642786,500.0,7320,7.56639289855957,6.070608615875244,0.0001,1.495784044265747
1.0,8356,1680,0.20618000000000036,33,4,391.672831,35.0,7355,6.351016998291016,4.785867214202881,0.0001,1.5651500225067139
0.0,8856,1780,0.15868000000000038,34,4,582.688074,500.0,7855,6.241067886352539,4.630222797393799,0.0001,1.6108449697494507
0.0,9356,1881,0.11118000000000028,35,4,307.596987,500.0,8355,8.763859748840332,7.24392032623291,0.0001,1.5199397802352905
0.0,9856,1981,0.06368000000000029,36,4,625.954178,500.0,8855,9.766674041748047,8.084117889404297,0.0001,1.682555913925171
-1.0,9862,1982,0.06310999999999967,37,4,-192.165765,6.0,8861,7.145569801330566,5.719278335571289,0.0001,1.4262917041778564
0.0,10362,2083,0.05,38,4,318.448768,500.0,9361,6.318878173828125,4.927799224853516,0.0001,1.3910791873931885
0.0,10862,2183,0.05,39,4,96.266588,500.0,9861,6.768538951873779,5.201722145080566,0.0001,1.5668166875839233
0.0,11362,2283,0.05,40,4,-212.5961,500.0,10361,5.835182189941406,4.489187240600586,0.0001,1.3459949493408203
0.0,11862,2384,0.05,41,4,311.321063,500.0,10861,6.770084381103516,5.323615074157715,0.0001,1.4464695453643799
0.0,12362,2484,0.05,42,4,81.335297,500.0,11361,5.691040992736816,4.425853729248047,0.0001,1.2651870250701904
0.0,12862,2584,0.05,43,4,622.094808,500.0,11861,6.435461044311523,5.1595139503479,0.0001,1.2759469747543335
0.0,13362,2685,0.05,44,4,-3.263545,500.0,12361,6.382971286773682,5.314818382263184,0.0001,1.068152904510498
1.0,13482,2709,0.05,45,4,763.627605,120.0,12481,5.9577484130859375,4.885470390319824,0.0001,1.0722777843475342
1.0,13725,2758,0.05,46,4,793.528748,243.0,12724,6.773301124572754,5.745351791381836,0.0001,1.027949333190918
-1.0,13731,2759,0.05,47,4,-214.055284,6.0,12730,5.575930595397949,4.575741291046143,0.0001,1.0001894235610962
1.0,14225,2858,0.05,48,4,709.192462,494.0,13224,5.964590072631836,4.797018051147461,0.0001,1.1675719022750854
0.0,14725,2959,0.05,49,4,402.986905,500.0,13724,6.292311191558838,5.101753234863281,0.0001,1.1905579566955566
0.0,15225,3059,0.05,50,4,-204.183945,500.0,14224,6.167777061462402,4.975868225097656,0.0001,1.191908836364746
0.0,15725,3159,0.05,51,4,492.152473,500.0,14724,7.046428203582764,6.158641815185547,0.0001,0.8877865076065063
0.0,16225,3260,0.05,52,4,676.303779,500.0,15224,6.62589693069458,5.713486671447754,0.0001,0.9124100804328918
0.0,16725,3360,0.05,53,4,261.551556,500.0,15724,7.220564842224121,6.271124839782715,0.0001,0.9494399428367615
0.0,17225,3460,0.05,54,4,206.228685,500.0,16224,7.933881759643555,7.029369354248047,0.0001,0.9045124053955078
1.0,17529,3521,0.05,55,4,711.880576,304.0,16528,6.658761978149414,5.712551116943359,0.0001,0.9462109804153442
0.0,18029,3622,0.05,56,4,347.365594,500.0,17028,7.92162561416626,6.940667152404785,0.0001,0.9809584617614746
0.0,18529,3722,0.05,57,4,512.018441,500.0,17528,10.828094482421875,10.073442459106445,0.0001,0.7546515464782715
1.0,18917,3800,0.05,58,4,970.903056,388.0,17916,7.399589538574219,6.442407131195068,0.0001,0.9571825265884399
0.0,19417,3900,0.05,59,4,482.380072,500.0,18416,7.269344329833984,6.633833885192871,0.0001,0.6355105638504028
1.0,19681,3953,0.05,60,4,559.378469,264.0,18680,6.0928425788879395,5.108477592468262,0.0001,0.984364926815033
0.0,20181,4054,0.05,61,4,399.077822,500.0,19180,8.25278091430664,7.512451648712158,0.0001,0.7403290867805481
0.0,20681,4154,0.05,62,4,295.013509,500.0,19680,10.563533782958984,9.768080711364746,0.0001,0.7954528331756592
0.0,21181,4254,0.05,63,4,566.880073,500.0,20180,7.322044372558594,6.154068946838379,0.0001,1.167975664138794
1.0,21213,4261,0.05,64,4,348.395347,32.0,20212,9.172100067138672,8.093183517456055,0.0001,1.0789165496826172
1.0,21288,4276,0.05,65,4,539.452963,75.0,20287,9.363439559936523,8.41221809387207,0.0001,0.9512217044830322
1.0,21344,4288,0.05,66,4,472.092396,56.0,20343,7.642063140869141,6.728934288024902,0.0001,0.9131287932395935
0.0,21844,4388,0.05,67,4,342.079023,500.0,20843,8.380166053771973,7.484970569610596,0.0001,0.8951951265335083
1.0,21914,4402,0.05,68,4,567.612475,70.0,20913,7.670412063598633,6.774785995483398,0.0001,0.8956259489059448
1.0,22169,4453,0.05,69,4,836.850644,255.0,21168,8.770929336547852,7.7155842781066895,0.0001,1.0553454160690308
-1.0,22173,4454,0.05,70,4,-217.575864,4.0,21172,9.011183738708496,7.839560031890869,0.0001,1.171623945236206
1.0,22417,4504,0.05,71,4,864.632161,244.0,21416,9.70029067993164,8.798828125,0.0001,0.9014626145362854
0.0,22917,4604,0.05,72,4,276.224371,500.0,21916,10.366661071777344,9.464086532592773,0.0001,0.9025740623474121
0.0,23417,4704,0.05,73,4,485.555511,500.0,22416,9.890425682067871,8.987632751464844,0.0001,0.9027925729751587
-1.0,23422,4705,0.05,74,4,-215.753981,5.0,22421,7.665204048156738,6.584076881408691,0.0001,1.081127405166626
0.0,23922,4806,0.05,75,4,173.915184,500.0,22921,8.096691131591797,7.212429046630859,0.0001,0.8842616677284241
0.0,24422,4906,0.05,76,4,113.262336,500.0,23421,6.90164852142334,5.844907760620117,0.0001,1.0567407608032227
1.0,24533,4928,0.05,77,4,710.39092,111.0,23532,7.833728790283203,6.679661750793457,0.0001,1.154066801071167
1.0,24656,4953,0.05,78,4,797.811279,123.0,23655,6.592362880706787,5.753466606140137,0.0001,0.8388963937759399
0.0,25156,5054,0.05,79,4,379.812103,500.0,24155,7.839011192321777,7.012491226196289,0.0001,0.8265199661254883
0.0,25656,5154,0.05,80,4,486.302766,500.0,24655,7.058414936065674,6.332256317138672,0.0001,0.7261586785316467
1.0,25786,5180,0.05,81,4,563.604331,130.0,24785,6.975463390350342,6.237838268280029,0.0001,0.7376249432563782
0.0,26286,5280,0.05,82,4,240.095225,500.0,25285,6.414676189422607,5.691300392150879,0.0001,0.7233759164810181
1.0,26483,5320,0.05,83,4,684.505684,197.0,25482,12.262641906738281,11.31594467163086,0.0001,0.9466972351074219
0.0,26983,5420,0.05,84,4,210.355562,500.0,25982,7.019021987915039,6.044082164764404,0.0001,0.9749400019645691
0.0,27483,5521,0.05,85,4,58.306495,500.0,26482,9.568899154663086,8.839468002319336,0.0001,0.7294310331344604
0.0,27983,5621,0.05,86,4,557.926098,500.0,26982,9.601808547973633,8.855899810791016,0.0001,0.7459085583686829
0.0,28483,5721,0.05,87,4,-156.731938,500.0,27482,7.799821376800537,6.986833572387695,0.0001,0.8129876852035522
0.0,28983,5822,0.05,88,4,150.182246,500.0,27982,10.88518238067627,10.055927276611328,0.0001,0.8292548656463623
0.0,29483,5922,0.05,89,4,602.962224,500.0,28482,11.61661434173584,10.850467681884766,0.0001,0.7661467790603638
0.0,29983,6022,0.05,90,4,521.890592,500.0,28982,8.524701118469238,7.747440338134766,0.0001,0.7772608399391174
0.0,30483,6123,0.05,91,4,407.542141,500.0,29482,6.721007823944092,5.865294456481934,0.0001,0.8557133674621582
0.0,30983,6223,0.05,92,4,530.585875,500.0,29982,12.775288581848145,12.238271713256836,0.0001,0.5370165109634399
0.0,31483,6323,0.05,93,4,273.853475,500.0,30482,10.122734069824219,9.468753814697266,0.0001,0.653980016708374
0.0,31983,6424,0.05,94,4,249.613837,500.0,30982,8.198542594909668,7.488485336303711,0.0001,0.7100574374198914
1.0,32004,6428,0.05,95,4,320.753741,21.0,31003,9.429747581481934,8.422005653381348,0.0001,1.007742166519165
0.0,32504,6528,0.05,96,4,586.960529,500.0,31503,10.59164047241211,9.769691467285156,0.0001,0.821948766708374
0.0,33004,6629,0.05,97,4,424.293248,500.0,32003,6.634747505187988,6.050993919372559,0.0001,0.5837538242340088
1.0,33130,6654,0.05,98,4,822.804008,126.0,32129,9.340838432312012,8.634788513183594,0.0001,0.7060495018959045
1.0,33211,6671,0.05,99,4,587.155718,81.0,32210,6.470599174499512,5.849358558654785,0.0001,0.621240496635437
0.0,33711,6771,0.05,100,4,431.851618,500.0,32710,6.793343544006348,6.042489051818848,0.0001,0.7508545517921448
-1.0,33720,6773,0.05,101,4,-243.139088,9.0,32719,8.632305145263672,7.697755813598633,0.0001,0.9345495104789734
1.0,33800,6789,0.05,102,4,597.905999,80.0,32799,7.251285076141357,6.6298933029174805,0.0001,0.6213915944099426
0.0,34300,6889,0.05,103,4,126.594999,500.0,33299,8.602697372436523,7.929449081420898,0.0001,0.6732487082481384
1.0,34389,6908,0.05,104,4,548.943724,89.0,33388,7.822453022003174,7.2094221115112305,0.0001,0.6130309104919434
0.0,34889,7008,0.05,105,4,290.723991,500.0,33888,9.243029594421387,8.658774375915527,0.0001,0.584255039691925
1.0,34976,7025,0.05,106,4,496.877205,87.0,33975,6.245230674743652,5.767059326171875,0.0001,0.478171169757843
1.0,35087,7048,0.05,107,4,691.288606,111.0,34086,8.17523193359375,7.405755043029785,0.0001,0.7694770693778992
0.0,35587,7148,0.05,108,4,212.936226,500.0,34586,10.362709045410156,9.611023902893066,0.0001,0.751684844493866
1.0,35713,7174,0.05,109,4,694.960328,126.0,34712,8.250068664550781,7.569913864135742,0.0001,0.6801544427871704
0.0,36213,7274,0.05,110,4,462.593445,500.0,35212,7.609849452972412,6.9808807373046875,0.0001,0.6289685964584351
1.0,36227,7277,0.05,111,4,271.63114,14.0,35226,7.857300758361816,7.208778381347656,0.0001,0.6485222578048706
1.0,36342,7300,0.05,112,4,626.688082,115.0,35341,7.183926582336426,6.5927934646606445,0.0001,0.5911332964897156
0.0,36842,7401,0.05,113,4,477.246082,500.0,35841,6.412460803985596,5.667497158050537,0.0001,0.7449637055397034
0.0,37342,7501,0.05,114,4,481.565342,500.0,36341,7.043276786804199,6.418715953826904,0.0001,0.6245608329772949
0.0,37842,7601,0.05,115,4,183.21983,500.0,36841,12.234737396240234,11.454622268676758,0.0001,0.7801156044006348
1.0,38268,7687,0.05,116,4,953.04077,426.0,37267,10.622775077819824,9.789548873901367,0.0001,0.8332263231277466
-1.0,38273,7688,0.05,117,4,-197.674797,5.0,37272,7.813204765319824,7.202107906341553,0.0001,0.6110968589782715
0.0,38773,7788,0.05,118,4,449.341185,500.0,37772,9.057920455932617,8.459306716918945,0.0001,0.5986135005950928
1.0,38871,7808,0.05,119,4,609.143743,98.0,37870,8.306800842285156,7.778350830078125,0.0001,0.5284500122070312
0.0,39371,7908,0.05,120,4,408.313796,500.0,38370,7.395285129547119,6.827873229980469,0.0001,0.5674120187759399
0.0,39871,8009,0.05,121,4,562.722227,500.0,38870,8.200201034545898,7.286919593811035,0.0001,0.9132809638977051
0.0,40371,8109,0.05,122,4,-56.915649,500.0,39370,10.797605514526367,10.231725692749023,0.0001,0.5658796429634094
0.0,40871,8209,0.05,123,4,166.62975,500.0,39870,10.949469566345215,10.396458625793457,0.0001,0.5530107617378235
0.0,41371,8310,0.05,124,4,392.007406,500.0,40370,9.208824157714844,8.400806427001953,0.0001,0.8080176115036011
-1.0,41377,8311,0.05,125,4,-206.444309,6.0,40376,20.296371459960938,19.658668518066406,0.0001,0.637702465057373
0.0,41877,8411,0.05,126,4,347.852131,500.0,40876,10.930462837219238,10.389776229858398,0.0001,0.5406862497329712
0.0,42377,8512,0.05,127,4,951.372194,500.0,41376,17.60007667541504,16.807146072387695,0.0001,0.7929298877716064
1.0,42406,8518,0.05,128,4,365.289099,29.0,41405,12.335342407226562,11.614500045776367,0.0001,0.7208420038223267
1.0,42440,8525,0.05,129,4,316.593771,34.0,41439,16.999095916748047,16.169387817382812,0.0001,0.8297088742256165
1.0,42554,8548,0.05,130,4,699.314247,114.0,41553,11.637672424316406,10.925297737121582,0.0001,0.7123744487762451
0.0,43054,8648,0.05,131,4,237.480038,500.0,42053,15.128059387207031,14.406064987182617,0.0001,0.7219945192337036
0.0,43554,8748,0.05,132,4,197.912085,500.0,42553,13.202021598815918,12.573055267333984,0.0001,0.6289660930633545
0.0,44054,8849,0.05,133,4,505.335422,500.0,43053,15.204582214355469,14.60029125213623,0.0001,0.6042909026145935
0.0,44554,8949,0.05,134,4,10574.759128,500.0,43553,25.286333084106445,24.698579788208008,0.0001,0.587753176689148
1.0,44712,8981,0.05,135,4,473.615008,158.0,43711,16.908306121826172,16.317583084106445,0.0001,0.5907223224639893
0.0,45212,9081,0.05,136,4,264.964172,500.0,44211,12.559734344482422,11.886252403259277,0.0001,0.6734819412231445
0.0,45712,9182,0.05,137,4,543.070362,500.0,44711,23.94607925415039,23.374732971191406,0.0001,0.571346640586853
1.0,45785,9196,0.05,138,4,533.874648,73.0,44784,14.581713676452637,13.823198318481445,0.0001,0.7585156559944153
0.0,46285,9297,0.05,139,4,480.870988,500.0,45284,12.52133846282959,11.938350677490234,0.0001,0.5829880833625793
0.0,46785,9397,0.05,140,4,287.504405,500.0,45784,23.976303100585938,23.380470275878906,0.0001,0.5958330035209656
1.0,46911,9422,0.05,141,4,793.143332,126.0,45910,15.372711181640625,14.676040649414062,0.0001,0.6966708898544312
1.0,46980,9436,0.05,142,4,574.75705,69.0,45979,20.811967849731445,20.194141387939453,0.0001,0.6178271770477295
-1.0,46984,9438,0.05,143,4,-190.300246,4.0,45983,27.616790771484375,27.042591094970703,0.0001,0.5742006301879883
-1.0,46989,9439,0.05,144,4,-223.312022,5.0,45988,24.079221725463867,23.254186630249023,0.0001,0.8250352144241333
0.0,47489,9539,0.05,145,4,322.429588,500.0,46488,35.94649124145508,35.296470642089844,0.0001,0.6500202417373657
0.0,47989,9639,0.05,146,4,337.339917,500.0,46988,12.75904655456543,12.161234855651855,0.0001,0.5978114008903503
1.0,48029,9648,0.05,147,4,369.255943,40.0,47028,22.043006896972656,21.347999572753906,0.0001,0.6950077414512634
1.0,48114,9665,0.05,148,4,500.042469,85.0,47113,23.914634704589844,23.262508392333984,0.0001,0.6521254181861877
1.0,48247,9692,0.05,149,4,654.274753,133.0,47246,13.931118965148926,13.254196166992188,0.0001,0.6769230961799622
1.0,48355,9714,0.05,150,4,649.963181,108.0,47354,21.323421478271484,20.733314514160156,0.0001,0.5901077389717102
0.0,48855,9814,0.05,151,4,201.524818,500.0,47854,24.285804748535156,23.534982681274414,0.0001,0.7508218884468079
1.0,48884,9820,0.05,152,4,359.682013,29.0,47883,13.031328201293945,12.298093795776367,0.0001,0.733234167098999
0.0,49384,9920,0.05,153,4,2451.593276,500.0,48383,19.480398178100586,18.728958129882812,0.0001,0.7514393329620361
1.0,49524,9948,0.05,154,4,814.356217,140.0,48523,30.09222412109375,29.48529052734375,0.0001,0.6069334745407104
1.0,49632,9970,0.05,155,4,727.066003,108.0,48631,26.113672256469727,25.2921199798584,0.0001,0.8215519189834595
0.0,50132,10071,0.05,156,4,646.575848,500.0,49131,25.15996551513672,24.43004608154297,0.0001,0.7299196124076843
1.0,50164,10077,0.05,157,4,385.83349,32.0,49163,22.032407760620117,21.457782745361328,0.0001,0.5746252536773682
1.0,50221,10089,0.05,158,4,481.692319,57.0,49220,20.009483337402344,19.454559326171875,0.0001,0.5549246668815613
0.0,50721,10189,0.05,159,4,431.011576,500.0,49720,14.550222396850586,13.874588012695312,0.0001,0.6756342649459839
1.0,50841,10213,0.05,160,4,790.874689,120.0,49840,17.853778839111328,17.11492919921875,0.0001,0.7388501167297363
1.0,50896,10225,0.05,161,4,445.636029,55.0,49895,14.968477249145508,14.399051666259766,0.0001,0.5694258213043213
-1.0,50901,10226,0.05,162,4,-203.992761,5.0,49900,13.211758613586426,12.739219665527344,0.0001,0.47253936529159546
0.0,51401,10326,0.05,163,4,243.118886,500.0,50400,18.95254898071289,18.37366485595703,0.0001,0.5788832902908325
0.0,51901,10426,0.05,164,4,415.783345,500.0,50900,14.990943908691406,14.327625274658203,0.0001,0.6633188128471375
1.0,51941,10435,0.05,165,4,365.376165,40.0,50940,17.35059928894043,16.343170166015625,0.0001,1.0074292421340942
0.0,52441,10535,0.05,166,4,373.620154,500.0,51440,17.251100540161133,16.657440185546875,0.0001,0.5936611294746399
1.0,52559,10559,0.05,167,4,704.621825,118.0,51558,19.348365783691406,18.875316619873047,0.0001,0.47304922342300415
1.0,52873,10622,0.05,168,4,913.748562,314.0,51872,12.015487670898438,11.32158088684082,0.0001,0.6939071416854858
1.0,52963,10640,0.05,169,4,589.329508,90.0,51962,17.620576858520508,17.084796905517578,0.0001,0.5357807874679565
0.0,53463,10741,0.05,170,4,213.282142,500.0,52462,20.505800247192383,19.80937957763672,0.0001,0.6964205503463745
0.0,53963,10841,0.05,171,4,695.07706,500.0,52962,17.62168312072754,16.637779235839844,0.0001,0.9839032888412476
0.0,54463,10941,0.05,172,4,465.37623,500.0,53462,12.691496849060059,12.13684368133545,0.0001,0.5546529293060303
1.0,54563,10961,0.05,173,4,708.957203,100.0,53562,14.1618013381958,13.436073303222656,0.0001,0.7257280945777893
0.0,55063,11062,0.05,174,4,477.680506,500.0,54062,13.84653091430664,13.116750717163086,0.0001,0.7297801971435547
1.0,55167,11083,0.05,175,4,654.931079,104.0,54166,11.334139823913574,10.507158279418945,0.0001,0.8269816637039185
1.0,55311,11112,0.05,176,4,668.137884,144.0,54310,18.679624557495117,18.052215576171875,0.0001,0.627408504486084
1.0,55450,11140,0.05,177,4,555.199626,139.0,54449,13.954235076904297,13.39777946472168,0.0001,0.5564553737640381
0.0,55950,11240,0.05,178,4,204.780812,500.0,54949,15.978802680969238,15.061456680297852,0.0001,0.9173461198806763
0.0,56450,11340,0.05,179,4,637.681463,500.0,55449,11.749656677246094,11.141321182250977,0.0001,0.6083351969718933
